Customer ID,Product Category,Product Price,Quantity,Total Purchase Amount
44605,Home,177,1,2427
44605,Electronics,174,3,2448
44605,Books,413,1,2345
44605,Electronics,396,3,937
44605,Books,259,4,2598
13738,Home,191,3,3722
13738,Electronics,205,1,2773
13738,Books,370,5,1486
13738,Home,12,2,2175
13738,Electronics,40,4,4327
33969,Clothing,410,3,5018
33969,Home,304,1,3883
33969,Books,54,2,4187
33969,Electronics,428,4,2289
33969,Books,281,1,3810
33969,Home,193,2,3198
33969,Clothing,473,3,2881
42650,Books,127,5,3347
42650,Home,284,2,3531
42650,Electronics,256,2,3548
42650,Clothing,252,2,1775
42650,Electronics,105,2,3721
42650,Electronics,193,2,3266
42650,Home,43,1,2312
42650,Home,30,5,642
42650,Electronics,30,3,5024
42650,Electronics,307,3,973
42650,Electronics,254,1,3865
42650,Books,12,3,3112
42650,Books,66,3,250
24053,Electronics,102,2,5206
24053,Books,187,5,629
24053,Books,86,1,843
24053,Electronics,364,3,1008
24053,Books,210,2,4567
19676,Clothing,304,3,4869
19676,Electronics,329,1,3391
19676,Clothing,306,4,1712
19676,Electronics,165,5,603
19676,Electronics,218,4,2866
19917,Clothing,392,3,1378
19917,Clothing,238,3,1760
19917,Books,174,5,4517
19917,Electronics,41,2,743
16051,Books,118,2,3672
16051,Clothing,14,4,2733
16051,Home,424,1,631
16051,Clothing,351,5,716
16051,Clothing,89,1,3577
16051,Home,287,3,3908
16051,Home,400,3,4889
16051,Clothing,22,2,4490
16051,Home,23,1,3820
23734,Clothing,14,1,5020
23734,Electronics,75,1,289
23734,Books,283,5,2673
23734,Clothing,31,4,4894
16921,Books,51,3,1881
16921,Clothing,350,2,1752
16921,Home,66,1,2892
16921,Home,47,3,4714
16921,Electronics,500,2,988
16921,Home,249,2,3171
7796,Clothing,195,1,3818
7796,Electronics,145,2,2134
7796,Home,381,3,368
7796,Clothing,169,5,4986
21035,Electronics,443,2,1884
21035,Electronics,116,3,2334
21035,Home,500,1,698
21035,Home,249,1,2925
21035,Books,112,4,793
21035,Electronics,457,2,2919
21035,Home,237,2,1088
37125,Electronics,207,5,783
37125,Electronics,311,2,2992
37125,Home,158,4,1047
41840,Clothing,10,5,3540
41840,Home,418,4,1599
41840,Electronics,298,3,1837
41840,Home,389,3,907
41840,Electronics,251,3,2525
41840,Clothing,72,2,869
41840,Electronics,277,5,3975
41840,Home,431,2,4053
41840,Home,369,5,1231
41840,Clothing,137,1,993
2642,Books,20,5,5089
2642,Clothing,179,4,4108
2642,Books,77,1,396
2642,Clothing,67,3,2261
2642,Home,387,2,2958
1254,Home,476,1,1687
1254,Home,413,5,3742
13389,Books,408,1,3926
13389,Books,296,3,4554
13389,Clothing,312,2,4477
13389,Books,68,4,948
13389,Electronics,222,2,1731
13389,Clothing,436,3,5025
13389,Books,40,2,2341
13389,Home,495,4,1176
13389,Home,165,2,1664
24473,Clothing,59,3,1147
24473,Electronics,474,3,4609
24473,Books,462,1,4042
24473,Home,436,3,1755
24473,Clothing,128,4,1132
11230,Home,219,2,2628
11230,Electronics,296,5,2232
11230,Clothing,164,2,4402
11230,Books,17,4,3658
11230,Home,387,2,4071
11230,Clothing,37,3,579
24741,Home,369,1,3026
24741,Electronics,87,4,688
24741,Electronics,230,3,2080
24741,Home,193,4,3730
24741,Books,149,2,1377
24741,Books,385,4,5083
10191,Electronics,229,5,3553
10191,Home,205,1,2333
10191,Home,485,5,1050
10191,Books,498,4,705
10191,Home,334,3,2542
10191,Electronics,118,2,2304
10191,Books,285,3,5091
10191,Electronics,76,1,3306
10191,Electronics,157,1,4382
10191,Books,202,5,3290
10191,Books,291,3,4776
6829,Home,161,3,4323
6829,Home,418,1,3785
6829,Books,151,3,980
6829,Home,127,3,3219
16825,Clothing,489,1,3184
16825,Clothing,420,2,969
16825,Books,395,3,3487
16825,Books,227,2,3400
16825,Clothing,166,4,1379
18467,Clothing,115,5,1589
18467,Home,63,2,4519
18467,Clothing,50,1,551
18467,Clothing,459,5,1735
18467,Home,192,5,1109
18467,Books,219,4,3977
18467,Electronics,92,4,3660
18467,Books,197,5,3178
18467,Home,451,2,1834
34857,Books,120,3,5279
